Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
STK11		11	11	1004	1.1%	Yes
CYSLTR2		2	2	207	1.0%	Yes
CDH1		20	18	1004	1.8%	Yes
SESN1		1	1	207	0.5%	Yes
PIM1		8	7	837	0.8%	Yes
NBN		18	13	1004	1.3%	Yes
ROS1		33	25	1004	2.5%	Yes
MEN1		9	7	1004	0.7%	Yes
MAP2K4		4	3	1004	0.3%	Yes
RNF43		16	12	1004	1.2%	Yes
MAP2K1		8	8	1004	0.8%	Yes
MAP2K2		4	4	1004	0.4%	Yes
EIF1AX		4	4	837	0.5%	Yes
FBXW7		17	17	1004	1.7%	Yes
TAP1		1	1	207	0.5%	Yes
MITF		11	10	1004	1.0%	Yes
EMSY		1	1	167	0.6%	Yes
FOXP1		6	6	882	0.7%	Yes
MSH6		49	27	1004	2.7%	Yes
MSH2		31	22	1004	2.2%	Yes
SMO		21	16	1004	1.6%	Yes
KAT6A		2	2	167	1.2%	Yes
RAB35		3	3	712	0.4%	Yes
SRSF2		2	2	712	0.3%	Yes
PGR		14	11	712	1.5%	Yes
ERG		17	17	1004	1.7%	Yes
NOTCH2		45	32	1004	3.2%	Yes
CSF1R		18	13	1004	1.3%	Yes
NOTCH3		47	36	1004	3.6%	Yes
KMT2D		115	48	1004	4.8%	Yes
CD274		2	2	882	0.2%	Yes
BLM		14	14	1004	1.4%	Yes
DNMT1		25	15	837	1.8%	Yes
NOTCH1		115	73	1004	7.3%	Yes
CBFB		2	2	1004	0.2%	Yes
KMT2A		46	28	1004	2.8%	Yes
MAX		7	7	837	0.8%	Yes
NOTCH4		35	25	1004	2.5%	Yes
CUL3		9	9	882	1.0%	Yes
ANKRD11		29	16	712	2.2%	Yes
KMT2C		59	34	882	3.9%	Yes
KMT2B		5	5	207	2.4%	Yes
VTCN1		9	7	837	0.8%	Yes
FOXO1		8	8	712	1.1%	Yes
SOCS1		3	3	1004	0.3%	Yes
BCL2L11		3	2	837	0.2%	Yes
ABL1		18	11	1004	1.1%	Yes
ABL2		1	1	45	2.2%	Yes
TNFRSF14		4	4	1004	0.4%	Yes
SMYD3		1	1	207	0.5%	Yes
MCL1		6	6	1004	0.6%	Yes
CD276		7	7	837	0.8%	Yes
FANCI		1	1	167	0.6%	No
FANCM		1	1	167	0.6%	Yes
FANCL		1	1	167	0.6%	Yes
FANCA		32	29	1004	2.9%	Yes
FANCC		3	3	1004	0.3%	Yes
PALB2		19	16	1004	1.6%	Yes
FANCG		3	3	167	1.8%	Yes
FANCF		2	2	167	1.2%	Yes
PTPRD		25	17	882	1.9%	Yes
CDK8		6	6	1004	0.6%	Yes
CDK6		4	4	1004	0.4%	Yes
BCL6		14	12	1004	1.2%	Yes
CDK4		4	4	1004	0.4%	Yes
RHEB		2	1	712	0.1%	Yes
BCL2		3	3	1004	0.3%	Yes
MDM2		10	8	1004	0.8%	Yes
NF1		197	142	1004	14.1%	Yes
MDM4		4	4	1004	0.4%	Yes
NF2		8	8	1004	0.8%	Yes
LZTR1		2	2	45	4.4%	Yes
MAP3K13		18	14	1004	1.4%	Yes
MYD88		9	5	1004	0.5%	Yes
BCL2L1		3	2	882	0.2%	Yes
NFE2L2		9	9	1004	0.9%	Yes
ALK		28	21	1004	2.1%	Yes
FLT1		25	21	1004	2.1%	Yes
FLT3		14	13	1004	1.3%	Yes
FLT4		38	25	1004	2.5%	Yes
PTEN		255	246	1004	24.5%	Yes
PIK3CD		16	14	837	1.7%	Yes
PIK3C2G		31	28	1004	2.8%	Yes
PIK3CB		13	11	882	1.2%	Yes
PIK3CG		38	28	1004	2.8%	Yes
CDC73		14	13	1004	1.3%	Yes
PIK3C2B		1	1	45	2.2%	Yes
PPP6C		4	4	712	0.6%	Yes
DNMT3B		20	12	837	1.4%	Yes
CHUK		2	2	167	1.2%	No
DIS3		13	11	1004	1.1%	Yes
ATRX		255	222	1004	22.1%	Yes
DNMT3A		32	26	1004	2.6%	Yes
FOXL2		6	5	1004	0.5%	Yes
TRAF2		8	6	712	0.8%	Yes
TRAF7		13	11	837	1.3%	Yes
PIK3CA		120	111	1004	11.1%	Yes
PIK3C3		11	8	1004	0.8%	Yes
TOP1		9	7	1004	0.7%	Yes
SOS1		4	4	207	1.9%	Yes
MET		35	30	1004	3.0%	Yes
BIRC3		3	3	712	0.4%	Yes
CEBPA		5	5	879	0.6%	Yes
SMARCD1		13	11	1004	1.1%	Yes
SRC		9	8	1004	0.8%	Yes
U2AF1		3	3	882	0.3%	Yes
PPM1D		9	7	712	1.0%	Yes
MALT1		7	5	712	0.7%	Yes
DNAJB1		4	4	712	0.6%	Yes
E2F3		4	4	837	0.5%	Yes
FYN		11	8	712	1.1%	Yes
EIF4E		4	4	712	0.6%	Yes
SH2B3		10	9	879	1.0%	Yes
NTRK1		13	12	1004	1.2%	Yes
NTRK2		16	12	1004	1.2%	Yes
NTRK3		14	11	1004	1.1%	Yes
MGA		39	18	712	2.5%	Yes
PTPN11		48	42	1004	4.2%	Yes
KLF4		1	1	837	0.1%	Yes
MTOR		33	24	1004	2.4%	Yes
TBX3		17	16	1004	1.6%	Yes
PNRC1		5	5	1004	0.5%	Yes
RAD52		5	5	1004	0.5%	Yes
CUL4A		1	1	167	0.6%	Yes
ASXL1		33	23	1004	2.3%	Yes
RAD50		20	14	1004	1.4%	Yes
RAD51		2	1	1004	<0.1%	Yes
APC		39	26	1004	2.6%	Yes
ASXL2		22	16	837	1.9%	Yes
PDCD1		6	4	837	0.5%	Yes
BCOR		45	38	1004	3.8%	Yes
EIF4A2		5	5	712	0.7%	Yes
ERRFI1		6	6	757	0.8%	Yes
SMARCB1		14	13	1004	1.3%	Yes
KEAP1		8	8	1004	0.8%	Yes
IKZF1		18	17	1004	1.7%	Yes
CRKL		1	1	1004	<0.1%	Yes
SOX2		10	9	1004	0.9%	Yes
RPS6KA4		9	7	837	0.8%	Yes
PPP2R1A		8	7	1004	0.7%	Yes
ADGRA2		9	8	167	4.8%	Yes
CHEK2		4	4	1004	0.4%	Yes
CHEK1		7	6	1004	0.6%	Yes
CCN6		1	1	167	0.6%	Yes
KDR		22	18	1004	1.8%	Yes
SOX9		7	6	882	0.7%	Yes
EPHB1		16	12	1004	1.2%	Yes
TP63		17	16	837	1.9%	Yes
ICOSLG		4	4	837	0.5%	Yes
ACVR1		7	7	712	1.0%	Yes
EPHA5		27	22	1004	2.2%	Yes
EPHA7		9	7	757	0.9%	Yes
HLA-B		2	2	252	0.8%	Yes
RECQL		2	1	207	0.5%	Yes
HLA-A		1	1	879	0.1%	Yes
HNF1A		14	12	882	1.4%	Yes
RUNX1		19	16	1004	1.6%	Yes
INPP4A		9	8	837	1.0%	Yes
INPP4B		17	12	882	1.4%	Yes
RRAGC		2	1	207	0.5%	Yes
BTK		13	11	1004	1.1%	Yes
BCORL1		6	6	167	3.6%	Yes
TP53		511	405	1004	40.3%	Yes
EPHA3		32	27	1004	2.7%	Yes
RTEL1		4	3	207	1.4%	Yes
EPAS1		1	1	207	0.5%	Yes
DCUN1D1		3	3	837	0.4%	Yes
PIK3R3		8	6	837	0.7%	Yes
PIK3R2		16	13	1004	1.3%	Yes
MST1R		19	16	757	2.1%	Yes
PIK3R1		93	83	1004	8.3%	Yes
ZBTB2		2	2	45	4.4%	No
CD79B		4	4	1004	0.4%	Yes
CD79A		2	2	879	0.2%	Yes
BRIP1		24	19	1004	1.9%	Yes
ZNF703		4	4	167	2.4%	Yes
H3C3		3	3	712	0.4%	Yes
TP53BP1		5	2	252	0.8%	Yes
H3C2		2	2	837	0.2%	Yes
H3C4		4	4	712	0.6%	Yes
RBM10		11	8	882	0.9%	Yes
H3C7		1	1	712	0.1%	Yes
H3C6		1	1	712	0.1%	Yes
STAT5A		6	5	712	0.7%	Yes
STAT5B		9	9	712	1.3%	Yes
ZRSR2		6	5	712	0.7%	Yes
WWTR1		1	1	207	0.5%	Yes
YES1		7	7	837	0.8%	Yes
INSR		21	16	882	1.8%	Yes
XRCC2		5	5	757	0.7%	Yes
SH2D1A		1	1	837	0.1%	Yes
XRCC3		3	3	167	1.8%	No
IGF2		6	6	1004	0.6%	Yes
IGF1		6	5	1004	0.5%	Yes
SMARCA4		62	51	1004	5.1%	Yes
STAG2		44	40	1004	4.0%	Yes
FUBP1		48	42	882	4.8%	Yes
ID3		1	1	712	0.1%	Yes
ATM		49	26	1004	2.6%	Yes
CALR		3	2	712	0.3%	Yes
BAP1		10	9	1004	0.9%	Yes
ATR		37	22	1004	2.2%	Yes
PTPRT		31	21	837	2.5%	Yes
PTPRS		30	15	837	1.8%	Yes
BRCA1		30	24	1004	2.4%	Yes
BRCA2		46	27	1004	2.7%	Yes
RPTOR		25	20	1004	2.0%	Yes
XPO1		15	12	1004	1.2%	Yes
SUFU		9	8	1004	0.8%	Yes
RAC1		1	1	882	0.1%	Yes
HRAS		3	2	1004	0.2%	Yes
H3-3A		13	13	757	1.7%	Yes
H3-3B		2	2	712	0.3%	Yes
IL10		2	2	837	0.2%	Yes
H3C8		3	3	712	0.4%	Yes
PARP3		2	2	167	1.2%	Yes
PBRM1		31	25	1004	2.5%	Yes
PARP4		4	4	167	2.4%	No
PARP1		20	14	1004	1.4%	Yes
SYK		14	14	1004	1.4%	Yes
PARP2		2	2	167	1.2%	Yes
NCOA3		19	16	712	2.2%	Yes
MST1		4	4	712	0.6%	Yes
RHOA		1	1	837	0.1%	Yes
RAD51B		4	4	1004	0.4%	Yes
RAD51D		7	6	1004	0.6%	Yes
RAD51C		7	7	1004	0.7%	Yes
CSDE1		2	1	207	0.5%	Yes
KIT		20	16	1004	1.6%	Yes
STK40		7	6	837	0.7%	Yes
DDR2		9	9	1004	0.9%	Yes
PRKN		14	13	882	1.5%	Yes
YAP1		8	7	837	0.8%	Yes
AMER1		23	17	1004	1.7%	Yes
DOT1L		31	17	1004	1.7%	Yes
XIAP		6	6	837	0.7%	Yes
TMPRSS2		9	7	1004	0.7%	Yes
CXCR4		9	7	712	1.0%	Yes
ALOX12B		13	11	1004	1.1%	Yes
CYP17A1		1	1	167	0.6%	Yes
PAK1		5	5	837	0.6%	Yes
RXRA		2	2	207	1.0%	Yes
SLX4		2	2	207	1.0%	Yes
CTNNA1		2	2	167	1.2%	Yes
RAD54L		8	7	1004	0.7%	Yes
PAK3		1	1	167	0.6%	Yes
PAK5		14	12	1004	1.2%	Yes
RANBP2		1	1	45	2.2%	Yes
SUZ12		8	8	837	1.0%	Yes
NPM1		6	6	1004	0.6%	Yes
MAP3K1		26	22	1004	2.2%	Yes
H2BC5		3	3	837	0.4%	Yes
RPA1		2	2	167	1.2%	No
MLH1		20	18	1004	1.8%	Yes
VEGFA		2	2	879	0.2%	Yes
RIT1		1	1	837	0.1%	Yes
AXL		24	19	1004	1.9%	Yes
KLHL6		1	1	167	0.6%	Yes
FAS		1	1	45	2.2%	Yes
CTNNB1		8	7	1004	0.7%	Yes
FOXA1		16	14	837	1.7%	Yes
INPPL1		2	1	207	0.5%	Yes
MPL		19	16	1004	1.6%	Yes
PRDM1		22	14	1004	1.4%	Yes
IGF1R		20	15	1004	1.5%	Yes
CCND3		3	3	1004	0.3%	Yes
CCND2		6	6	1004	0.6%	Yes
CCND1		7	6	1004	0.6%	Yes
EP300		37	29	1004	2.9%	Yes
ARID2		54	44	1004	4.4%	Yes
PDGFRB		18	14	1004	1.4%	Yes
PDGFRA		61	47	1004	4.7%	Yes
HGF		19	11	1004	1.1%	Yes
TSC2		38	27	1004	2.7%	Yes
ARID5B		15	12	837	1.4%	Yes
SDHC		2	2	882	0.2%	Yes
TSC1		21	21	1004	2.1%	Yes
SDHA		13	9	882	1.0%	Yes
MYCL		7	7	1004	0.7%	Yes
MYCN		16	13	1004	1.3%	Yes
SHQ1		8	7	837	0.8%	Yes
CCNE1		7	6	1004	0.6%	Yes
FANCD2		5	5	167	3.0%	Yes
RAF1		11	11	1004	1.1%	Yes
CARD11		28	27	1004	2.7%	Yes
HOXB13		9	8	757	1.1%	Yes
SPTA1		4	4	45	8.9%	No
COP1		14	12	837	1.4%	Yes
TMEM127		2	2	837	0.2%	Yes
PMAIP1		1	1	837	0.1%	Yes
FGF23		1	1	167	0.6%	Yes
SMAD2		8	8	1004	0.8%	Yes
ZFHX3		39	24	712	3.4%	Yes
SMAD4		5	5	1004	0.5%	Yes
SMAD3		12	12	882	1.4%	Yes
IDH1		342	339	1004	33.8%	Yes
PTCH1		24	19	1004	1.9%	Yes
IDH2		26	23	1004	2.3%	Yes
INHBA		7	7	879	0.8%	Yes
ESR1		14	11	1004	1.1%	Yes
PHOX2B		3	3	837	0.4%	Yes
LRP1B		16	13	167	7.8%	Yes
NFKBIA		6	5	879	0.6%	Yes
GNAQ		3	3	1004	0.3%	Yes
FGF19		4	4	1004	0.4%	Yes
GNAS		24	17	1004	1.7%	Yes
TCF3		5	5	712	0.7%	Yes
FGFR4		13	12	1004	1.2%	Yes
IL7R		8	8	1004	0.8%	Yes
FGF12		1	1	167	0.6%	Yes
FGFR3		27	22	1004	2.2%	Yes
FGFR2		12	11	1004	1.1%	Yes
BMPR1A		3	3	882	0.3%	Yes
FGFR1		25	21	1004	2.1%	Yes
KDM5A		34	26	1004	2.6%	Yes
GSK3B		9	9	1004	0.9%	Yes
KDM5C		26	20	1004	2.0%	Yes
TNFAIP3		12	11	1004	1.1%	Yes
CHD2		1	1	45	2.2%	Yes
FLCN		9	6	882	0.7%	Yes
SPRED1		5	3	207	1.4%	Yes
CASP8		4	4	1004	0.4%	Yes
POLE		34	18	882	2.0%	Yes
KDM6A		20	10	1004	1.0%	Yes
EGFL7		1	1	837	0.1%	Yes
PDPK1		2	2	837	0.2%	Yes
EED		9	9	837	1.1%	Yes
AXIN1		13	12	882	1.4%	Yes
ETV1		8	8	1004	0.8%	Yes
AXIN2		17	12	837	1.4%	Yes
ARID1A		62	44	1004	4.4%	Yes
TENT5C		8	7	1004	0.7%	Yes
ARID1B		52	34	882	3.9%	Yes
TGFBR1		4	4	837	0.5%	Yes
ETV6		10	7	1004	0.7%	Yes
TGFBR2		13	9	1004	0.9%	Yes
LATS1		17	14	837	1.7%	Yes
GREM1		2	2	882	0.2%	Yes
LATS2		16	12	837	1.4%	Yes
ELF3		3	2	207	1.0%	Yes
IRF4		16	15	1004	1.5%	Yes
MYOD1		2	2	837	0.2%	Yes
RASA1		10	9	837	1.1%	Yes
IRF2		1	1	45	2.2%	Yes
ABRAXAS1		1	1	882	0.1%	Yes
CBL		13	13	1004	1.3%	Yes
AURKB		5	5	1004	0.5%	Yes
AURKA		3	3	1004	0.3%	Yes
GNA13		3	3	167	1.8%	Yes
ERBB3		21	18	1004	1.8%	Yes
ERBB4		18	15	1004	1.5%	Yes
GNA11		8	5	1004	0.5%	Yes
POLD1		19	14	757	1.8%	Yes
ERBB2		18	13	1004	1.3%	Yes
MAPK1		4	3	837	0.4%	Yes
DROSHA		5	3	207	1.4%	Yes
VHL		2	2	1004	0.2%	Yes
MUTYH		10	7	1004	0.7%	Yes
MAPK3		5	4	712	0.6%	Yes
SPEN		55	33	1004	3.3%	Yes
TCF7L2		8	6	712	0.8%	Yes
NEGR1		8	7	712	1.0%	Yes
TSHR		12	12	1004	1.2%	Yes
H3-5		2	2	837	0.2%	Yes
H3-4		2	2	712	0.3%	Yes
ERCC3		12	11	837	1.3%	Yes
ERCC4		10	9	882	1.0%	Yes
ERCC2		11	11	1004	1.1%	Yes
RPS6KB2		7	6	837	0.7%	Yes
ERCC5		9	9	837	1.1%	Yes
KRAS		15	14	1004	1.4%	Yes
TEK		3	3	252	1.2%	Yes
